material_id  formula  band_gap  symmetry
mp-1211926  Rb2Ta2Si2O11  0.5166999999999999  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_122' number=91 point_group='422' symprec=0.1 version='2.0.2'
mp-560631  KUSi2O7  0.5523000000000002  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/mbm' number=127 point_group='4/mmm' symprec=0.1 version='2.0.2'
mp-859799  Li9Si2Ni5O16  0.5962999999999998  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P-1' number=2 point_group='-1' symprec=0.1 version='2.0.2'
mp-764516  Li3Co2(SiO4)2  0.5178  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1177732  Li3Co2(SiO4)2  0.5561  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-558320  K3U3Si2O13  0.5497000000000005  crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P-62c' number=190 point_group='-6m2' symprec=0.1 version='2.0.2'
mp-1202769  Rb2Nb2Si2O11  0.5739000000000001  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_322' number=95 point_group='422' symprec=0.1 version='2.0.2'
mp-1212196  Rb2Nb2Si2O11  0.5318  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_122' number=91 point_group='422' symprec=0.1 version='2.0.2'
mp-1044098  Si2Bi13(SbO14)2  0.5369000000000002  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P-1' number=2 point_group='-1' symprec=0.1 version='2.0.2'
mp-1196415  Li2Al2(SiO4)3  0.5507  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Fdd2' number=43 point_group='mm2' symprec=0.1 version='2.0.2'
mp-1250467  Ca2Cr2(SiO4)3  0.5882000000000001  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4_1/acd' number=142 point_group='4/mmm' symprec=0.1 version='2.0.2'
mp-2716120  Na6Zn2Si3Sn2(SO8)3  0.5551999999999997  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1196695  Na2Al2(SiO4)3  0.5721  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Fdd2' number=43 point_group='mm2' symprec=0.1 version='2.0.2'
mp-2714208  Na6Mg16Ta8Si3(S11O48)3  0.5320999999999998  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-778793  Li4Fe3(SiO4)3  0.5446  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-2713803  Na2Nb2In2Si3(SO8)3  0.5621999999999998  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1202493  CaAl2Si3O13  0.5198  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Cc' number=9 point_group='m' symprec=0.1 version='2.0.2'
mp-1228625  BaAl2Si3O14  0.538  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='P2_12_12' number=18 point_group='222' symprec=0.1 version='2.0.2'
mp-2713905  Na2Sc2Nb2Si3(SO8)3  0.5029000000000001  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1173755  Na4Al3Si3B(O3F)4  0.532  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
