pseudofile,ecutwfc,ecutrho
Sr.ONCV_PBE-1.0.UPF,80.0,320.0
V.ONCV_PBE-1.0.UPF,80.0,320.0
O.ONCV_PBE-1.0.UPF,80.0,320.0
